id,label,text,subject,speaker,speaker_job,state,party,barely_true_count,false_count,half_true_count,mostly_true_count,pants_fire_count,context,source,sensational_score,hedging_score,sentiment_compound
10626.json,true,Polling shows that nearly 74 percent of National Rifle Association members support requiring background checks for all gun sales.,"civil-rights,government-regulation,guns",lena-taylor,"State Senator, District 4",Wisconsin,democrat,1.0,1.0,0.0,1.0,1.0,a news release,LIAR,0.0,0.0,0.0772
1520.json,barely-true,I left the city with $43 million in the bank.,job-accomplishments,maurice-ferre,Former mayor of Miami,Florida,democrat,1.0,0.0,1.0,0.0,0.0,An interview with Newsmax,LIAR,0.0,0.0,0.0
1326.json,false,"Says she couldn't take stimulus money because it required ""universal building codes.""","energy,federal-budget,stimulus",sarah-palin,,Alaska,republican,9.0,19.0,9.0,6.0,6.0,"her book, Going Rogue",LIAR,0.0,0.0,0.0
9816.json,mostly-true,The United States is the only industrialized country that does not guarantee paid time off to care for a new child.,"families,women,workers",don-beyer,8th District congressional candidate,Virginia,democrat,1.0,2.0,1.0,3.0,0.0,a web post.,LIAR,0.0,0.0,0.644
1708.json,barely-true,The Health Care and Education Reconciliation Act is the largest-ever investment in higher education.,"education,federal-budget",democratic-national-committee,,,none,8.0,2.0,10.0,8.0,0.0,a press release.,LIAR,0.0,0.0,0.4939
7391.json,true,Ohio companies export more goods and services globally than 41 other states.,"health-care,income,labor,public-health,workers",keith-faber,State senator,Ohio,republican,0.0,0.0,1.0,0.0,0.0,a news conference,LIAR,0.0,0.0,0.0
8207.json,mostly-true,"While fat-cat bureaucrats at the Department of Education are getting paid an average salary of $102,000 a year, teachers in Georgia are getting paid half of that.","education,federal-budget",paul-broun,Congressman,Georgia,republican,4.0,8.0,3.0,2.0,1.0,a press release,LIAR,0.0,0.0,0.0
2449.json,half-true,"Under Lee Fisher Ohio has lost nearly 400,000 jobs.","economy,job-accomplishments,message-machine",rob-portman,U.S. senator from Ohio,Ohio,republican,3.0,5.0,11.0,11.0,1.0,a campaign video,LIAR,0.0,0.0,-0.3182
3392.json,false,Says iPads and iPhones are built in the United States of America.,"economy,abc-news-week,trade",john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"an interview on ABC's ""This Week with Christiane Amanpour""",LIAR,0.0,0.0,0.4215
8160.json,true,Polls show that 96 percent of New Jerseyans and 95 percent of gun households in the state support expanding background checks to keep guns away from those who shouldnt have them.,guns,mark-kelly,,,newsmaker,0.0,0.0,1.0,0.0,0.0,an opinion column on NJ.com,LIAR,0.0,0.0,0.0772
6988.json,barely-true,The sequester is not something that Ive proposed. It is something that Congress has proposed.,"debates,federal-budget,military",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a presidential debate,LIAR,0.0,0.0,0.0
11719.json,false,Existing law right now requires 700 miles of double-layered border fencing on the Mexico border.,immigration,ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,a radio interview.,LIAR,0.0,0.0,0.0
8494.json,barely-true,"If your plan is the result of collective bargaining, no subsequent changes by anybody -- insurance companies, Obamacare -- can force your grandfathered policy to change.","health-care,unions",rush-limbaugh,Radio host,,none,9.0,11.0,5.0,2.0,10.0,comments on his radio show,LIAR,0.0,0.0,-0.296
2472.json,false,"The downsizing of Pinellas County government resulted in about 1,200 people being laid off in a 12 percent unemployment market. I can tell you that every one of them was hired from the time that Ms. Latvala went into office in 2000.","county-budget,government-efficiency",bob-hackworth,XX,Florida,none,0.0,1.0,0.0,0.0,0.0,a candidates forum in Dunedin,LIAR,0.0,0.0,-0.4404
4605.json,barely-true,The Tax Foundation figures Rhode Island as the 10th highest state for state and local tax burden per capita in the country. Were the 6th worst in the country for the business tax index. Were the 3rd highest per capita in the country for all taxes.,"economy,small-business,state-finances,taxes",peter-palumbo,State Representative,Rhode Island,democrat,3.0,1.0,1.0,0.0,0.0,a speech,LIAR,0.0,0.0,-0.7906
12135.json,pants-fire,An image in a ChrisAbele TV ad depicts wealthy citizens who would benefit from a lake created by the controversial Estabrook Dam.,environment,chris-abele,Philanthropist,Wisconsin,none,3.0,5.0,4.0,4.0,2.0,a television ad,LIAR,0.0,0.0,0.6908
151.json,false,More people in this country have seen UFOs than I think approve of George Bush's presidency.,bush-administration,dennis-kucinich,U.S. representative,Ohio,democrat,1.0,3.0,4.0,6.0,0.0,"a Democratic debate in Philadelphia, Pa.",LIAR,0.0,0.0,0.0
7004.json,half-true,"Lois Frankel spent over $13,000 in taxpayer money on a marble shower in a private bathroom with her own toilet.","candidates-biography,city-budget,city-government,message-machine-2012",adam-hasner,,Florida,republican,2.0,1.0,4.0,4.0,0.0,an ad,LIAR,0.0,0.0,0.0
6691.json,false,"Ann Kuster supports the government takeover of healthcare, which robs Medicare of over $700 billion.","health-care,message-machine-2012",charles-bass,U.S. Representative ,New Hampshire,republican,3.0,2.0,0.0,0.0,0.0,"an August 27, 2012 advertisement, “Not Working,” aired in and around New Hampshire.”",LIAR,0.0,0.0,-0.128
